cmb-cat,cat_move_in_no,new_no,move_out_no,new_total
TECH-OE-B,0,0,0,0
P-I-T-PA-TECH-S,0,0,0,6
P-T-PA-TECH-B,0,0,0,0
P-T-PA-TECH-C,0,0,0,0
P-T-TECH,0,0,0,10
I-T-PA-S-OE,0,0,0,14
P-T-S-OE-B-C,0,0,0,0
P-T-PA-TECH-S,0,0,0,1
PA-TECH-S-B,0,0,0,0
P-I-PA-S-OE-B-C,0,0,0,0
P-I-PA-OE-C,0,0,0,0
P-I-PA-OE-B,0,0,0,0
P-I-TECH-B,0,0,0,0
P-I-TECH-C,0,0,0,0
P-T-PA-OE-B-C,0,0,0,0
I-PA-TECH-OE,0,0,0,1
P-I-T-PA-TECH-S-OE-B-C,0,0,0,3
P-I-TECH-S,0,0,0,3
I-TECH-OE-C,0,0,0,0
I-TECH-OE-B,0,0,0,1
T-OE-B-C,0,0,0,0
I-T-OE-B,0,0,0,0
I-T-OE-C,0,0,0,0
P-I-TECH-S-OE,0,0,0,1
PA-OE-B-C,0,0,0,0
T-PA-OE,0,0,0,4
P-S-OE-B-C,0,0,0,0
P-I-T-PA-S-B-C,0,0,0,1
P-I-T-TECH-S-C,0,0,0,3
P-I-T-TECH-S-B,0,0,0,0
I-T-PA-B-C,0,0,0,0
P-T-TECH-C,0,0,0,0
P-T-TECH-B,0,0,0,0
I-PA-S,0,0,0,113
P-I-PA-C,0,0,0,1
P-I-PA-B,0,0,0,0
T-PA-S-C,0,0,0,3
T-PA-S-B,0,0,0,0
TECH,0,0,0,189
P-T-TECH-S,0,0,0,2
I-PA-B,0,0,0,3
I-PA-C,0,0,0,3
P-I-PA-S,0,0,0,3
P-I-TECH,0,0,0,7
I-OE-C,0,0,0,3
I-OE-B,0,0,0,0
T-PA-TECH-S-B-C,0,0,0,0
I-PA-TECH-B-C,0,0,0,0
I-T-OE,0,0,0,25
P-I-T-S-OE,0,0,0,5
I-PA-OE-B,0,0,0,0
I-PA-OE-C,0,0,0,0
P-PA-OE-C,0,0,0,0
P-PA-OE-B,0,0,0,0
P-I-TECH-S-OE-B-C,0,0,0,0
P-T,0,1,0,67
P-S,0,0,0,4
PA-TECH-OE-B-C,0,0,0,0
P-B,0,0,0,0
I-T-TECH-OE,0,0,0,4
P-I,0,0,0,35
P-I-T-TECH-OE,0,0,0,3
T-PA-S-B-C,0,0,0,0
PA-S-OE,0,0,0,11
TECH-S-OE,0,0,0,2
P-I-T-TECH-OE-B-C,0,0,0,0
I-T-PA-TECH-S-OE-B-C,0,0,0,6
I-PA-TECH-S-B-C,0,0,0,10
T-PA-TECH-S-B,0,0,0,0
I-TECH-S-B-C,0,0,0,2
T-TECH-OE-B,0,0,0,0
T-TECH-OE-C,0,0,0,0
I-TECH-S,0,0,0,51
PA-TECH-OE,0,0,0,0
I-T-PA-OE,0,0,0,3
I-TECH-S-OE,0,0,0,9
P-I-PA-TECH-OE-C,0,0,0,0
P-I-PA-TECH-OE-B,0,0,0,0
I-TECH-C,0,0,0,4
I-TECH-B,0,0,0,1
P-TECH-OE-B,0,0,0,0
P-TECH-OE-C,0,0,0,0
I-T-PA-TECH-OE-C,0,0,0,0
I-T-PA-TECH-OE-B,0,0,0,0
