"2068","1054","HP LaserJet Pro CM1415fn Color Multifunction Printer (CE861A)"
"2070","274","HP 125A Yellow (CB542A)"
"2070","276","HP 125A Black (CB540A)"
"2071","907","Epson 143 Cyan (T143290)"
"2071","908","Epson 143 Magenta (T143390)"
"2072","1190","HP Officejet 7500A Wide Format e-All-in-One Printer (C9309A)"
"2073","1389","Fuji Xerox DocuPrint CP105b"
"2074","778","Canon CL-811XL Color"
"2074","760","Canon PG-810XL Black"
"2075","778","Canon CL-811XL Color"
"2075","760","Canon PG-810XL Black"
"2076","741","HP 703 Color (CD888AA)"
"2076","742","HP 703 Black (CD887AA)"
"2077","741","HP 703 Color (CD888AA)"
"2077","742","HP 703 Black (CD887AA)"
"2078","741","HP 703 Color (CD888AA)"
"2078","742","HP 703 Black (CD887AA)"
"2079","751","HP 950XL Black (CN045AA)"
"2079","752","HP 951XL Cyan (CN046AA)"
"2079","753","HP 951XL Magenta (CN047AA)"
"2079","754","HP 951XL Yellow (CN048AA)"
"2080","892","Epson 141 Yellow (T141490)"
"2080","889","Epson 141 Black (T141190)"
"2080","890","Epson 141 Cyan (T141290)"
"2080","891","Epson 141 Magenta (T141390)"
"2081","577","Xerox CM205 CP105 Cyan (CT201592)"
"2081","578","Xerox CM205 CP105 Magenta (CT201593)"
"2082","617","HP 920XL Yellow (CD974AA)"
"2082","615","HP 920XL Magenta (CD973AA)"
"2082","616","HP 920XL Cyan (CD972AA)"
"2082","728","HP 920XL Black (CD975AA)"
"2082","332","HP 128A Magenta (CE323A)"
"2082","331","HP 128A Yellow (CE322A)"
"2082","330","HP 128A Cyan (CE321A)"
"2082","329","HP 128A Black (CE320A)"
"2083","629","HP 564XL Cyan (CB323WA)"
"2083","631","HP 564XL Black (CN684WA)"
"2083","626","HP 564XL Yellow (CB325WA)"
"2083","628","HP 564XL Magenta (CB324WA)"
"2084","731","HP 61XL Color (CH564WA)"
"2085","816","Epson 73N Black (T105190)"
"2085","817","Epson 73N Cyan (T105290)"
"2085","818","Epson 73N Magenta (T105390)"
"2085","819","Epson 73N Yellow (T105490)"
"2086","739","HP 704 Black (CN692A)"
"2086","740","HP 704 Color (CN693A)"
"2087","489","Brother TN-2025 Toner"
"2088","625","HP 702 Black (CC660AA)"
"2089","1596","Xerox CM205 CP105 Black (CT201591)"
"2090","1580","HP Deskjet 3070A e-All-in-One Printer - B611a (CQ191A)"
"2091","896","Epson T0495 Light Cyan (T049590)"
"2091","897","Epson T0496 Light Magenta (T049690)"
"2091","893","Epson T0492 Cyan (T049290)"
"2091","894","Epson T0493 Magenta (T049390)"
"2091","895","Epson T0494 Yellow (T049490)"
"2091","1637","Epson T0491 Black (T049190)"
"2092","556","Xerox P3200 (CWAA0747)"
"2093","891","Epson 141 Magenta (T141390)"
"2093","892","Epson 141 Yellow (T141490)"
"2093","889","Epson 141 Black (T141190)"
"2093","890","Epson 141 Cyan (T141290)"
"2094","521","Xerox P3124 P3125 P3117 (CWAA0759)"
"2095","617","HP 920XL Yellow (CD974AA)"
"2095","615","HP 920XL Magenta (CD973AA)"
"2095","616","HP 920XL Cyan (CD972AA)"
"2095","728","HP 920XL Black (CD975AA)"
"2096","631","HP 564XL Black (CN684WA)"
"2097","252","HP 124A Black (Q6000A)"
"2097","253","HP 124A Cyan (Q6001A)"
"2097","250","HP 124A Yellow (Q6002A)"
"2097","251","HP 124A Magenta (Q6003A)"
"2097","316","HP 307A Black (CE740A)"
"2097","318","HP 307A Cyan (CE741A)"
"2097","319","HP 307A Yellow (CE742A)"
"2097","317","HP 307A Magenta (CE743A)"
"2098","252","HP 124A Black (Q6000A)"
"2098","253","HP 124A Cyan (Q6001A)"
"2098","250","HP 124A Yellow (Q6002A)"
"2098","251","HP 124A Magenta (Q6003A)"
"2098","316","HP 307A Black (CE740A)"
"2098","318","HP 307A Cyan (CE741A)"
"2098","319","HP 307A Yellow (CE742A)"
"2098","317","HP 307A Magenta (CE743A)"
"2099","252","HP 124A Black (Q6000A)"
"2099","253","HP 124A Cyan (Q6001A)"
"2099","250","HP 124A Yellow (Q6002A)"
"2099","251","HP 124A Magenta (Q6003A)"
"2099","316","HP 307A Black (CE740A)"
"2099","318","HP 307A Cyan (CE741A)"
"2099","319","HP 307A Yellow (CE742A)"
"2099","317","HP 307A Magenta (CE743A)"
"2100","479","OKI C310 C510 Magenta (44469756)"
"2100","480","OKI C310 C510 Yellow (44469755)"
"2100","478","OKI C310 C510 Cyan (44469757)"
"2100","477","OKI C310 C510 Black (44469818)"
"2101","683","HP 21 Black (C9351AA)"
"2102","702","HP 61 Black (CH561WA)"
"2103","623","HP 901 Color (CC656AA)"
